acc_raw_int,acc_raw_float,acc_HP_float,acc_HP_float
-231,-231,-89.5627,-89
-226,-226,-123.0395,-123
-225,-225,-68.9735,-68
-193,-193,-45.2694,-45
-201,-201,-72.8668,-72
-220,-220,-54.4466,-54
-280,-280,-101.08,-101
-243,-243,-87.5601,-87
-236,-236,-92.8256,-92
-224,-224,-91.7737,-91
-217,-217,-44.1464,-44
-197,-197,-65.4212,-65
-158,-158,-62.326,-62
-205,-205,-18.66,-18
-234,-234,-20.8737,-20
-218,-218,-68.1651,-68
-178,-178,-68.1253,-68
-215,-215,-31.8704,-31
-234,-234,-53.9559,-53
-230,-230,-102.6491,-102
-232,-232,-49.9129,-49
-205,-205,-31.7643,-31
-202,-202,-62.9247,-62
-194,-194,-113.3247,-113
-196,-196,-90.0015,-90
-237,-237,-60.3533,-60
-210,-210,-83.9554,-83
-191,-191,-80.52,-80
-236,-236,-63.6893,-63
-234,-234,-92.7737,-92
-208,-208,-57.3631,-57
-238,-238,-80.9478,-80
-288,-288,-69.2839,-69
-281,-281,-67.2343,-67
-217,-217,-42.4695,-42
-239,-239,-18.7742,-18
-279,-279,-62.7238,-62
-245,-245,-61.5377,-61
-241,-241,-37.4474,-37
-234,-234,-59.0194,-59
-258,-258,-64.3857,-64
-226,-226,-78.1926,-78
-252,-252,-91.4596,-91
-251,-251,-51.5498,-51
-190,-190,-73.7151,-73
-181,-181,-73.4105,-73
-269,-269,-62.0953,-62
-259,-259,-74.1255,-74
-231,-231,-77.7733,-77
-254,-254,-69.5668,-69
-240,-240,-64.3807,-64
-214,-214,-63.0279,-63
-234,-234,-31.8582,-31
-243,-243,-40.1449,-40
-259,-259,-58.6484,-58
-249,-249,-118.8503,-118
-261,-261,-81.1145,-81
-250,-250,-74.2734,-74
-244,-244,-62.1548,-62
-211,-211,-55.2232,-55
-216,-216,-35.8805,-35
-261,-261,3.6006,3
-269,-269,-43.2838,-43
-253,-253,-72.7183,-72
-303,-303,-56.314,-56
-254,-254,-15.4409,-15
-248,-248,-52.3138,-52
-221,-221,-71.7057,-71
-256,-256,-67.1694,-67
-248,-248,-68.3368,-68
-237,-237,-41.9782,-41
-226,-226,-39.063,-39
-216,-216,-30.4857,-30
-247,-247,-31.6513,-31
-271,-271,-72.8378,-72
-258,-258,-46.0686,-46
-215,-215,-26.614,-26
-263,-263,-71.4673,-71
-265,-265,-69.4701,-69
-226,-226,-42.8986,-42
-215,-215,-73.2769,-73
-226,-226,-122.7866,-122
-267,-267,-115.7117,-115
-240,-240,-51.5357,-51
-246,-246,-73.6448,-73
-230,-230,-113.7259,-113
-239,-239,-78.8404,-78
-226,-226,-74.6802,-74
-228,-228,-67.8211,-67
-259,-259,-91.2459,-91
-232,-232,-58.9786,-58
-225,-225,-84.6509,-84
-236,-236,-83.3274,-83
-217,-217,-22.7787,-22
-201,-201,-13.3529,-13
-205,-205,-101.2812,-101
-255,-255,-91.257,-91
-262,-262,-62.8725,-62
-239,-239,-85.6734,-85
-268,-268,-71.588,-71
-271,-271,-45.4207,-45
-213,-213,-65.326,-65
-245,-245,-74.5731,-74
-305,-305,-90.0852,-90
-278,-278,-79.5305,-79
-232,-232,-90.5821,-90
-252,-252,-80.0011,-80
-204,-204,-74.0545,-74
-233,-233,-41.0989,-41
-257,-257,-45.9999,-45
-234,-234,-91.1162,-91
-244,-244,-99.4274,-99
-222,-222,-82.5804,-82
-234,-234,-132.0588,-132
-252,-252,-83.1594,-83
-223,-223,-77.616,-77
-210,-210,-50.0103,-50
-228,-228,-84.6938,-84
-216,-216,-76.7583,-76
-176,-176,-65.8382,-65
-248,-248,-55.1504,-55
-239,-239,-45.1135,-45
-215,-215,-76.2025,-76
-221,-221,-100.1415,-100
-251,-251,-86.5092,-86
-207,-207,-43.9744,-43
-215,-215,-92.2674,-92
-230,-230,-93.6488,-93
-257,-257,-54.6921,-54
-207,-207,-44.1677,-44
-197,-197,-54.8798,-54
-251,-251,-95.2733,-95
-291,-291,-68.4287,-68
-218,-218,-75.4836,-75
-231,-231,-59.2346,-59
-256,-256,-67.7385,-67
-238,-238,-55.3462,-55
-215,-215,-57.5362,-57
-191,-191,-88.8192,-88
-246,-246,-61.5549,-61
-243,-243,-55.0898,-55
-235,-235,-65.8066,-65
-241,-241,-46.9237,-46
-283,-283,-31.732,-31
-233,-233,-35.8363,-35
-219,-219,-84.6788,-84
-270,-270,-91.8912,-91
-221,-221,-69.4276,-69
-210,-210,-98.256,-98
-252,-252,-101.5275,-101
-258,-258,-43.9096,-43
-235,-235,-75.6789,-75
-205,-205,-135.7099,-135
-244,-244,-108.5789,-108
-228,-228,-62.8602,-62
-226,-226,-82.8313,-82
-235,-235,-35.1093,-35
-239,-239,-64.2845,-64
-243,-243,-88.7922,-88
-201,-201,-65.8256,-65
-231,-231,-75.2767,-75
-271,-271,-53.2181,-53
-250,-250,-65.5326,-65
-194,-194,-83.0637,-83
-229,-229,-54.9292,-54
-240,-240,-42.0876,-42
-238,-238,-60.5124,-60
-240,-240,-48.0521,-48
-235,-235,-8.2461,-8
-219,-219,-80.4975,-80
-225,-225,-71.7121,-71
-244,-244,-47.8466,-47
-241,-241,-53.4233,-53
-209,-209,-83.2337,-83
-262,-262,-39.4589,-39
-274,-274,-48.0151,-48
-209,-209,-62.4204,-62
-218,-218,-89.5189,-89
-248,-248,-40.091,-40
-231,-231,-30.2447,-30
-241,-241,-84.0618,-84
-256,-256,-123.4693,-123
-247,-247,-50.88,-50
-271,-271,-63.7324,-63
-250,-250,-88.9306,-88
-256,-256,-70.7444,-70
-223,-223,-47.9427,-47
-232,-232,-23.8943,-23
-253,-253,-78.4161,-78
-289,-289,-75.681,-75
-213,-213,-67.7918,-67
-191,-191,-73.705,-73
-233,-233,-115.9463,-115
-243,-243,-66.0842,-66
-224,-224,-51.97,-51
-257,-257,-102.1817,-102
-238,-238,-53.1105,-53
-256,-256,-42.4032,-42
-225,-225,-84.0239,-84
-225,-225,-90.0485,-90
-221,-221,-67.8927,-67
-182,-182,-37.514,-37
-215,-215,-75.7636,-75
-242,-242,-60.2263,-60
-248,-248,-58.8589,-58
-242,-242,-67.528,-67
-232,-232,-72.1632,-72
-242,-242,-75.6543,-75
-220,-220,-33.328,-33
-207,-207,-63.7086,-63
-267,-267,-103.4641,-103
-216,-216,-82.7817,-82
-178,-178,-26.6973,-26
-201,-201,-61.5166,-61
-225,-225,-72.9464,-72
-227,-227,-71.1011,-71
-226,-226,-72.826,-72
-224,-224,-67.9978,-67
-246,-246,-52.4689,-52
-228,-228,-57.4196,-57
-240,-240,-76.5751,-76
-233,-233,-73.9261,-73
-222,-222,-41.8579,-41
-209,-209,-94.5218,-94
-254,-254,-107.129,-107
-234,-234,-41.9999,-41
-210,-210,-50.8577,-50
-211,-211,-80.5934,-80
-241,-241,-64.3396,-64
-220,-220,-74.4998,-74
-248,-248,-88.7326,-88
-212,-212,-79.3518,-79
-265,-265,-104.4264,-104
-280,-280,-83.162,-83
-257,-257,-88.8153,-88
-264,-264,-56.0699,-56
-228,-228,-65.4312,-65
-229,-229,-86.757,-86
-236,-236,-121.9737,-121
-243,-243,-46.0617,-46
-242,-242,-24.2082,-24
-217,-217,-66.209,-66
-235,-235,-75.7042,-75
-216,-216,-57.5482,-57
-187,-187,-90.8766,-90
-234,-234,-71.2109,-71
-250,-250,-89.9392,-89
-239,-239,-59.0806,-59
-188,-188,-58.6195,-58
-235,-235,-54.6209,-54
-235,-235,-16.0155,-16
-200,-200,-49.5347,-49
-226,-226,-76.0214,-76
-238,-238,-82.2939,-82
-239,-239,-76.3429,-76
-249,-249,-66.2176,-66
-232,-232,-76.2152,-76
-276,-276,-54.1152,-54
-224,-224,-41.7479,-41
-171,-171,-101.4654,-101
-190,-190,-50.0818,-50
-232,-232,-12.4954,-12
-233,-233,-36.3209,-36
-206,-206,-59.8866,-59
-234,-234,-61.7855,-61
-233,-233,-60.8813,-60
-197,-197,-59.0038,-59
-255,-255,-81.0894,-81
-259,-259,-63.2951,-63
-260,-260,-75.1682,-75
-220,-220,-67.9727,-67
-242,-242,-57.0573,-57
-235,-235,-44.532,-44
-208,-208,-88.8755,-88
-232,-232,-68.8205,-68
-253,-253,-45.7543,-45
-246,-246,-46.5793,-46
-263,-263,-76.1037,-76
-228,-228,-55.3914,-55
-240,-240,-83.2542,-83
-195,-195,-47.1757,-47
-172,-172,-100.5042,-100
-232,-232,-115.2393,-115
-231,-231,-92.6189,-92
-227,-227,-99.6003,-99
-239,-239,-64.0795,-64
-254,-254,-64.8932,-64
-253,-253,-71.5654,-71
-257,-257,-78.0678,-78
-237,-237,-78.1677,-78
-274,-274,-53.2973,-53
-257,-257,-70.5693,-70
-213,-213,-51.4576,-51
-268,-268,-22.622,-22
-249,-249,-69.0943,-69
-235,-235,-85.3542,-85
-273,-273,-73.9884,-73
-267,-267,-23.3143,-23
-196,-196,-70.3238,-70
-221,-221,-70.3336,-70
-224,-224,-35.7944,-35
-200,-200,-61.2807,-61
-195,-195,-72.9393,-72
-223,-223,-73.8734,-73
-275,-275,-83.8544,-83
-243,-243,-66.9419,-66
-193,-193,-110.8591,-110
-195,-195,-59.2228,-59
-233,-233,-6.3366,-6
-188,-188,-24.5655,-24
-208,-208,-67.3528,-67
-242,-242,-68.7816,-68
-270,-270,-41.2589,-41
-217,-217,-68.8989,-68
-229,-229,-67.8588,-67
-226,-226,-31.8716,-31
-214,-214,-89.9262,-89
-236,-236,-93.6104,-93
-252,-252,-94.8325,-94
-283,-283,-54.5405,-54
-267,-267,-76.5547,-76
-270,-270,-69.5931,-69
-301,-301,-42.5543,-42
-283,-283,-65.752,-65
-228,-228,-87.0285,-87
-240,-240,-80.2847,-80
-258,-258,-97.1151,-97
-208,-208,-61.6804,-61
-209,-209,-73.9875,-73
-202,-202,-28.6207,-28
-137,-137,-6.3213,-6
-169,-169,-65.7063,-65
-236,-236,-64.5582,-64
-254,-254,-60.8962,-60
-228,-228,-72.8405,-72
-220,-220,-88.3859,-88
-264,-264,-87.2605,-87
-240,-240,-91.1113,-91
-217,-217,-71.0317,-71
-210,-210,-108.0925,-108
-233,-233,-91.4182,-91
-247,-247,-47.0895,-47
-231,-231,-102.3278,-102
-236,-236,-83.6495,-83
-272,-272,-68.8221,-68
-220,-220,-106.6277,-106
-214,-214,-100.8411,-100
-254,-254,-30.4686,-30
-256,-256,-54.6845,-54
-221,-221,-57.7073,-57
-247,-247,-34.1348,-34
-236,-236,-28.7064,-28
-180,-180,-56.6559,-56
-223,-223,-108.6844,-108
-254,-254,-76.5234,-76
-231,-231,-26.7919,-26
-183,-183,-28.33,-28
-218,-218,-67.1572,-67
-257,-257,-22.7951,-22
-244,-244,-42.3999,-42
-215,-215,-75.817,-75
-223,-223,-103.8552,-103
-260,-260,-51.1809,-51
-239,-239,-62.7681,-62
-264,-264,-59.741,-59
-272,-272,-48.1511,-48
-245,-245,-69.2987,-69
-252,-252,-85.2675,-85
-276,-276,-116.2192,-116
-277,-277,-100.7016,-100
-261,-261,-103.3054,-103
-238,-238,-134.3897,-134
-275,-275,-116.6332,-116
-265,-265,-61.1604,-61
-225,-225,-72.8688,-72
-246,-246,-90.9413,-90
-247,-247,-40.672,-40
-218,-218,-42.19,-42
-200,-200,-35.0528,-35
-224,-224,29.3556,29
-210,-210,-2.8852,-2
-226,-226,-68.9503,-68
-247,-247,-86.9071,-86
-228,-228,-60.9437,-60
-199,-199,-52.8295,-52
-215,-215,-96.668,-96
